Customer ID,Quantity,Date,Price,Class,Total
8841478489,3,9/15/2020,295.31,0,885.93
6810747311,24,9/15/2020,226.54,0,5436.96
2620645441,33,9/15/2020,268.4,0,8857.2
8509768811,58,9/15/2020,103.39,0,5996.62
8548753102,97,9/15/2020,208.59,0,20233.23
8841879947,55,9/15/2020,242.91,0,13360.05
8218057552,44,9/15/2020,121.76,0,5357.44
8286470559,38,9/15/2020,209.79,0,7972.02
6254394170,47,9/15/2020,126.72,0,5955.84
8136313423,93,9/15/2020,156.66,0,14569.38
4728166341,98,9/15/2020,172.87,0,16941.26
5264058784,88,9/15/2020,278.05,0,24468.4
2225329079,23,9/15/2020,230.3,0,5296.9
4058513403,37,9/15/2020,271.14,0,10032.18
8988976940,65,9/15/2020,101.63,0,6605.95
4410789899,97,9/15/2020,298.9,0,28993.3
9234235711,97,9/15/2020,273.33,0,26513.01
2123795860,97,9/15/2020,225.71,0,21893.87
9506884374,44,9/15/2020,168.22,0,7401.68
5797905248,34,9/15/2020,197.68,0,6721.12
7464241568,50,9/15/2020,172.6,0,8630
5100547189,14,9/15/2020,204.65,0,2865.1
4801712835,21,9/15/2020,177.16,0,3720.36
5592719205,57,9/15/2020,155.27,0,8850.39
9783652176,28,9/15/2020,216.5,0,6062
2370599499,28,9/15/2020,259.03,0,7252.84
9005180129,7,9/15/2020,228.32,0,1598.24
3730489941,29,9/15/2020,100.31,0,2908.99
4539876732,33,9/15/2020,218.12,0,7197.96
7727830275,3,9/15/2020,228.35,0,685.05
4881056476,76,9/15/2020,121.99,0,9271.24
4749838578,80,9/15/2020,246.76,0,19740.8
3128162875,93,9/15/2020,266.47,0,24781.71
8840011943,53,9/15/2020,253.44,0,13432.32
5193955827,87,9/15/2020,215.6,0,18757.2
5780395993,13,9/15/2020,125.11,0,1626.43
6954445258,59,9/15/2020,132.33,0,7807.47
6917989517,36,9/15/2020,162.34,0,5844.24
2963230508,79,9/15/2020,128.4,0,10143.6
965640973,72,9/15/2020,198.61,0,14299.92
1739154592,17,9/15/2020,231.74,0,3939.58
3815471877,29,9/15/2020,181.28,0,5257.12
3327865906,100,9/15/2020,121.34,0,12134
3587058660,53,9/15/2020,148.42,0,7866.26
5960887894,81,9/15/2020,217.35,0,17605.35
1303394405,98,9/15/2020,264.19,0,25890.62
4709924341,2,9/15/2020,284.81,0,569.62
7951821373,92,9/15/2020,165.19,0,15197.48
111304288,1,9/15/2020,123.85,0,123.85
9963079830,17,9/15/2020,209.52,0,3561.84
2375463056,42,9/16/2020,175.29,0,7362.18
1715128710,76,9/16/2020,118.22,0,8984.72
7289907027,86,9/16/2020,189.2,0,16271.2
9544620362,65,9/16/2020,109.58,0,7122.7
2662240733,93,9/16/2020,276.06,0,25673.58
